,eigval1,eigval2,m_e,b_e,m_w,b_w,perp
0,0j,1j,-1,0,0,4,True
1,0j,2j,-1,0,0,1,True
2,0j,3j,-1,0,0,5,True
3,0j,4j,-1,0,0,2,True
4,0j,5j,-1,0,0,6,True
5,0j,6j,-1,0,0,3,True
6,0j,(1+0j),0,0,-1,4.0,True
7,0j,(1+1j),1,0,6,1,True
8,0j,(1+2j),2,0,3,3,True
9,0j,(1+3j),3,0,2,4,True
10,0j,(1+4j),4,0,5,3,True
11,0j,(1+5j),5,0,4,4,True
12,0j,(1+6j),6,0,1,6,True
13,0j,(2+0j),0,0,-1,1.0,True
14,0j,(2+1j),4,0,5,6,True
15,0j,(2+2j),1,0,6,2,True
16,0j,(2+3j),5,0,4,1,True
17,0j,(2+4j),2,0,3,6,True
18,0j,(2+5j),6,0,1,5,True
19,0j,(2+6j),3,0,2,1,True
20,0j,(3+0j),0,0,-1,5.0,True
21,0j,(3+1j),5,0,4,5,True
22,0j,(3+2j),3,0,2,5,True
23,0j,(3+3j),1,0,6,3,True
24,0j,(3+4j),6,0,1,4,True
25,0j,(3+5j),4,0,5,2,True
26,0j,(3+6j),2,0,3,2,True
27,0j,(4+0j),0,0,-1,2.0,True
28,0j,(4+1j),2,0,3,5,True
29,0j,(4+2j),4,0,5,5,True
30,0j,(4+3j),6,0,1,3,True
31,0j,(4+4j),1,0,6,4,True
32,0j,(4+5j),3,0,2,2,True
33,0j,(4+6j),5,0,4,2,True
34,0j,(5+0j),0,0,-1,6.0,True
35,0j,(5+1j),3,0,2,6,True
36,0j,(5+2j),6,0,1,2,True
37,0j,(5+3j),2,0,3,1,True
38,0j,(5+4j),5,0,4,6,True
39,0j,(5+5j),1,0,6,5,True
40,0j,(5+6j),4,0,5,1,True
41,0j,(6+0j),0,0,-1,3.0,True
42,0j,(6+1j),6,0,1,1,True
43,0j,(6+2j),5,0,4,3,True
44,0j,(6+3j),4,0,5,4,True
45,0j,(6+4j),3,0,2,3,True
46,0j,(6+5j),2,0,3,4,True
47,0j,(6+6j),1,0,6,6,True
48,1j,0j,-1,0,0,4,True
49,1j,2j,-1,0,0,5,True
50,1j,3j,-1,0,0,2,True
51,1j,4j,-1,0,0,6,True
52,1j,5j,-1,0,0,3,True
53,1j,6j,-1,0,0,0,True
54,1j,(1+0j),6,1,1,0,True
55,1j,(1+1j),0,1,-1,4.0,True
56,1j,(1+2j),1,1,6,2,True
57,1j,(1+3j),2,1,3,4,True
58,1j,(1+4j),3,1,2,5,True
59,1j,(1+5j),4,1,5,4,True
60,1j,(1+6j),5,1,4,5,True
61,1j,(2+0j),3,1,2,2,True
62,1j,(2+1j),0,1,-1,1.0,True
63,1j,(2+2j),4,1,5,0,True
64,1j,(2+3j),1,1,6,3,True
